Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G003697165	-10.898710510759978	3.8541623893499923	3.087286349768462	2.8961463643687826	(-16.1903, -4.09734)	(-1.69759, 9.67883)
G001686925	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000403725	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008694755	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006094355	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002165375	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003050705	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G010918895	-7.866200328049984	-2.5550079436349993	3.072850737558468	4.468264586314999	(-12.9161, -2.15715)	(-9.83019, 7.01829)
G016728665	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002761875	-10.91798130699999	-3.415869427024998	1.7778199457953174	3.5169812862742766	(-14.6691, -8.37314)	(-10.5861, 2.40977)
G000314675	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000741415	-9.679856594399999	1.6259945911121987	4.155376068055971	3.6181869002789973	(-17.3303, -2.05042)	(-5.54197, 8.47566)
G016026595	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001439845	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000903115	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G013892435	-11.490672649900004	1.6360646561395027	3.6127285531488638	3.002281730494611	(-17.8199, -4.15612)	(-4.40816, 7.14968)
G001696605	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003700725	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000411375	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008710035	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002174105	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006094375	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003052295	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G010974825	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016728685	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000315445	-6.590936820444985	2.275375262006505	3.9822952924041584	3.9813516723943088	(-13.7422, 1.25381)	(-5.33586, 9.20874)
G002762215	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000741565	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
