Feature	Intercept_mean	tumor_type[T.HCC]_mean	Intercept_std	tumor_type[T.HCC]_std	Intercept_hdi	tumor_type[T.HCC]_hdi
G000428125	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G003627155	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G005403045	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G002287885	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G003324185	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G002949675	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G001487165	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G001953355	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G000953015	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G000741685	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G000367205	-10.951819724999984	-3.542781572914998	1.7960122618265928	3.4978669235405073	(-14.269, -7.55201)	(-11.0868, 1.96864)
G000159115	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G005818875	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G003660105	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G000430225	-10.817790108390001	-3.626735317330003	2.0573100262297053	3.556748628318779	(-14.7268, -7.31404)	(-10.668, 2.60599)
G002287965	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G003384605	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G002957165	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G001501155	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G001955695	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G000954135	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G000744945	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G000367925	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
G000159595	-10.356389270551814	-1.5316474560650033	5.155407442827791	4.585000533916406	(-18.7657, -0.253562)	(-9.95229, 7.02157)
