Feature	Intercept_mean	tumor_type[T.HCC]_mean	Intercept_std	tumor_type[T.HCC]_std	Intercept_hdi	tumor_type[T.HCC]_hdi
G002288145	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000026225	-7.632923882000002	-0.18371831898600022	2.0409246835845334	2.203834931623978	(-11.0649, -3.77131)	(-4.44015, 3.92486)
G000369625	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001997185	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000621065	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001190575	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001646745	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000820145	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000231215	-7.023328811449995	2.2815342039749975	2.195978984056561	2.4712135903205628	(-10.413, -2.88306)	(-3.35078, 6.55041)
G002288185	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000069965	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002014755	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000369885	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000621245	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001190715	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001677885	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000820265	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000241465	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002288305	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000091545	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002017865	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000371765	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000687635	-10.398094300899979	-3.6583506953330027	1.9154794036858906	3.367719327931772	(-14.1063, -7.10469)	(-10.3316, 2.04341)
G001190735	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001679175	-10.597631802060008	1.3142968465299993	3.685300359724378	3.1419873543352086	(-16.6571, -3.10388)	(-4.36569, 7.82071)
G000830155	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000245775	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002959635	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002288325	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000148585	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002028325	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000372725	-3.987501594999998	-0.270306406466	0.27616732562797125	0.349896416501207	(-4.5022, -3.50402)	(-0.899355, 0.391536)
G000688255	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G001270065	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000837125	-9.256715225	-0.34516859184499965	0.5496982387890192	0.850691985729875	(-10.3822, -8.3165)	(-2.07655, 1.14589)
G001686925	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000248155	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002959695	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002288365	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000153905	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G002080435	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
G000373085	-10.325436399650021	-1.5879729669649978	5.01831497064975	4.830625263774914	(-18.5207, -0.190342)	(-11.2871, 6.83537)
