Feature	Intercept_mean	tumor_type[T.HCC]_mean	Intercept_std	tumor_type[T.HCC]_std	Intercept_hdi	tumor_type[T.HCC]_hdi
G009932335	-8.034741790000004	-5.786234429499987	0.6044139031629702	2.7557093710090665	(-9.11815, -6.90888)	(-11.5944, -1.63911)
G015547255	-8.093616970000006	-0.46482268574540125	0.48491822426056463	0.6484254120233682	(-8.9608, -7.18774)	(-1.70654, 0.682554)
G013409125	-10.593992486500012	2.1529050325000045	2.966124851849834	2.857372303783675	(-15.9268, -5.01156)	(-2.98383, 7.41328)
G005403045	-5.513942255000002	-0.3570586427249997	0.3578934392091662	0.47206809549317963	(-6.13878, -4.84189)	(-1.13984, 0.612736)
G000898815	-12.04745350150002	1.3094529265099981	2.6984304351049047	2.6513534346899434	(-17.2168, -7.3762)	(-3.78183, 6.08042)
G002206635	-7.904846335000007	-0.2973658546319999	0.4514929734224196	0.5736499484455765	(-8.74249, -7.09755)	(-1.25107, 0.898602)
G003627155	-8.523019575000006	-1.5254263895649987	0.7300880154782495	1.0899780307803817	(-9.89732, -7.15377)	(-3.60507, 0.523055)
G003030305	-3.8413432450000036	0.5904506461025009	0.19538490854751317	0.2535092416776168	(-4.18181, -3.44875)	(0.107954, 1.05728)
G008033445	-8.955654917650001	2.24735798689	3.453666476416887	3.296912241576669	(-14.9006, -1.78258)	(-4.38469, 8.16291)
G016904755	-10.057330405450008	-1.6854555734795011	4.988509334472221	4.410769039819716	(-18.1402, 0.640266)	(-9.60139, 6.834)
G001431625	-7.505955439999991	-2.3521579307899994	0.6844582334330616	1.2725441365320909	(-8.76721, -6.19922)	(-4.60633, -0.102585)
G001747495	-6.682658100000012	1.12329728194755	0.40019189742983297	0.47914616843147834	(-7.38635, -5.89674)	(0.234482, 2.0371)
G000403725	-8.044040055	-1.040386805475501	0.7793496854311601	0.995469647288253	(-9.50519, -6.58173)	(-2.84293, 0.92772)
G000741245	-8.113283244999996	-0.6350669466199999	0.48215088988968996	0.6672713720717885	(-9.08651, -7.29434)	(-1.82151, 0.666837)
G019972875	-9.895728519999995	-0.10237824294500006	1.1294671253996784	1.3923236777958248	(-12.0562, -8.03852)	(-2.68116, 2.59565)
G900115745	-11.891323250000019	3.4776295008199973	1.8881608089898854	1.9229961768720103	(-15.4154, -8.76152)	(0.0612821, 6.92985)
G009938305	-5.5247983350000105	-0.79358093458	0.1659893430337556	0.2286198125607111	(-5.84879, -5.21579)	(-1.20285, -0.358231)
G002834225	-6.984993165000007	-0.19657232509349978	0.5055045815400021	0.6471774493228631	(-7.89729, -6.02416)	(-1.41882, 1.01565)
G015557635	-5.329244385000004	-0.495830965315	0.2932372035409587	0.3829827805603632	(-5.93037, -4.8268)	(-1.22598, 0.209319)
G013410775	-2.9951458450000046	-0.5797426915999996	0.11800104274490952	0.15883224212420335	(-3.20693, -2.76385)	(-0.887823, -0.290847)
G005818875	-9.031106844999996	0.3180751677710009	1.0818116390744728	1.3085768857008517	(-11.0259, -6.90234)	(-2.213, 2.78379)
G000899375	-11.672160977500004	0.850328194494001	2.935452889176927	2.7111168963824412	(-18.0421, -6.74609)	(-3.83532, 6.51673)
G002208825	-9.080218119999993	-0.8110177494155	0.8678013990280076	1.2251416414865386	(-10.8937, -7.62277)	(-3.19879, 1.46799)
G003660105	-6.607891805000006	0.11364151864599974	0.34534862936255	0.427734519949459	(-7.25763, -5.99519)	(-0.717912, 0.88595)
G008107625	-3.325475475000005	-0.6600066358349992	0.1530650043725683	0.20924207952295173	(-3.59507, -3.01229)	(-1.03791, -0.248144)
G003030905	-7.587757315000006	0.25212157046815015	0.35919275764878805	0.4224674368290745	(-8.25466, -6.90356)	(-0.494267, 1.08235)
G016907555	-5.615504499999991	0.29784002838749984	0.3313024492306838	0.4292964374155647	(-6.26181, -5.02744)	(-0.446646, 1.13218)
G001431665	-8.586234695000003	-1.3324072326549996	0.7259451937595613	1.0660517475618323	(-9.97178, -7.34995)	(-3.42676, 0.518764)
G001748265	-10.057330405450008	-1.6854555734795011	4.988509334472221	4.410769039819716	(-18.1402, 0.640266)	(-9.60139, 6.834)
G000411375	-7.65628174000002	0.1440866049889999	0.9301197105076171	1.1505735496706169	(-9.46305, -5.99351)	(-2.10336, 2.18653)
